ticker,signal_at_entry,entry_date,entry_price,exit_date,exit_price,return_pct,holding_months
NHY.OL,BUY,2018-01-31,37.401458740234375,2018-02-28,35.69775390625,-4.555182849463635,1
SAMPO.HE,BUY,2018-01-31,5.130168914794922,2018-05-31,4.921700954437256,-4.063569130374322,4
BOL.ST,STRONG BUY,2018-01-31,204.2412872314453,2018-07-31,195.7785186767578,-4.143515089139416,6
SUBC.OL,STRONG BUY,2018-05-31,102.87533569335938,2018-08-31,94.01388549804688,-8.61377524125494,3
UPM.HE,STRONG BUY,2018-01-31,18.511829376220703,2018-10-31,20.14864730834961,8.842010688751678,9
FORTUM.HE,STRONG BUY,2018-01-31,9.557413101196289,2018-10-31,10.805510520935059,13.058946040352136,9
DNB.OL,BUY,2018-01-31,97.96078491210938,2018-10-31,100.25066375732422,2.3375464450078987,9
SAMPO.HE,STRONG BUY,2018-08-31,5.154452800750732,2018-10-31,4.755617618560791,-7.73768230318943,2
SHB-A.ST,STRONG BUY,2018-09-30,58.583248138427734,2018-10-31,51.94990921020508,-11.322927865912424,1
EQNR.OL,STRONG BUY,2018-01-31,115.7836685180664,2018-11-30,133.80435180664062,15.564097699808443,10
AKRBP.OL,STRONG BUY,2018-02-28,110.78962707519531,2018-11-30,140.31080627441406,26.64615810935269,9
SEB-A.ST,STRONG BUY,2018-10-31,59.50324249267578,2018-12-31,54.06531524658203,-9.13887549365583,2
INVE-B.ST,STRONG BUY,2018-10-31,85.1729736328125,2018-12-31,81.47005462646484,-4.347528151724789,2
SWED-A.ST,STRONG BUY,2018-10-31,116.38356018066406,2018-12-31,111.6683578491211,-4.051433316031483,2
SWED-A.ST,BUY,2019-01-31,115.8188705444336,2019-02-28,95.82865905761719,-17.25989158143898,1
SEB-A.ST,BUY,2019-02-28,59.03855895996094,2019-03-31,54.24382019042969,-8.121368227810189,1
SHB-A.ST,BUY,2019-03-31,54.138916015625,2019-05-31,51.611331939697266,-4.668700930765313,2
SUBC.OL,STRONG BUY,2019-04-30,91.56489562988281,2019-05-31,81.32232666015625,-11.186130775628634,1
DNB.OL,STRONG BUY,2019-04-30,108.85953521728516,2019-05-31,102.63502502441406,-5.717928319689114,1
BOL.ST,STRONG BUY,2019-06-30,186.79576110839844,2019-07-31,173.107666015625,-7.327840316906431,1
VWS.CO,STRONG BUY,2018-12-31,94.49440002441406,2019-08-31,96.93504333496094,2.582844390690142,8
DNB.OL,STRONG BUY,2019-06-30,109.75863647460938,2019-08-31,101.59761047363281,-7.435429468791243,2
SEB-A.ST,BUY,2019-07-31,61.374794006347656,2019-08-31,56.85896301269531,-7.3577941348125675,1
SEB-A.ST,STRONG BUY,2019-09-30,60.983863830566406,2019-11-30,55.349205017089844,-9.239589720211129,2
DNB.OL,STRONG BUY,2019-09-30,110.83061218261719,2019-11-30,107.06134796142578,-3.400923397391986,2
BOL.ST,STRONG BUY,2019-11-30,194.30850219726562,2020-01-31,180.38438415527344,-7.165984959245975,2
SHB-A.ST,STRONG BUY,2019-12-31,55.68416213989258,2020-01-31,52.25150680541992,-6.1645092653975215,1
INVE-B.ST,STRONG BUY,2019-01-31,86.133544921875,2020-02-29,106.51390838623047,23.661354566145974,13
FORTUM.HE,STRONG BUY,2019-04-30,11.585902214050293,2020-02-29,11.856487274169922,2.3354681847002734,10
UPM.HE,STRONG BUY,2019-10-31,21.66326332092285,2020-02-29,20.615041732788086,-4.838705843188318,4
SAMPO.HE,STRONG BUY,2020-01-31,5.245916843414307,2020-02-29,4.733775615692139,-9.762663858560916,1
AKRBP.OL,STRONG BUY,2020-01-31,161.36497497558594,2020-02-29,139.80908203125,-13.35847072612708,1
DNB.OL,BUY,2020-01-31,111.93720245361328,2020-02-29,107.82210540771484,-3.676255039162457,1
NESTE.HE,BUY,2018-11-30,18.544559478759766,2020-03-31,25.499134063720703,37.50196704821403,16
VWS.CO,STRONG BUY,2019-10-31,106.3271484375,2020-03-31,107.4549789428711,1.0607173444833196,5
SWED-A.ST,BUY,2020-02-29,90.8110580444336,2020-03-31,69.54338836669922,-23.419691539468868,1
SEB-A.ST,BUY,2020-02-29,61.63090896606445,2020-03-31,45.279579162597656,-26.531054105449357,1
UPM.HE,BUY,2020-06-30,20.165618896484375,2020-07-31,17.742921829223633,-12.01399808107605,1
SEB-A.ST,BUY,2020-07-31,57.04768371582031,2020-09-30,53.67767333984375,-5.907357067754182,2
UPM.HE,STRONG BUY,2020-09-30,20.377309799194336,2020-10-31,19.02091407775879,-6.656402316115228,1
SAMPO.HE,STRONG BUY,2020-09-30,4.561329364776611,2020-10-31,4.373692512512207,-4.113644011620144,1
