Ticker,Name,Return%,CAGR%,PF,Winrate%,MaxDD%,Trades,p_ep,p_ef,p_es,p_tk,p_kj,p_sb,p_am,p_adx,p_t1r,p_t1p,p_t2r,p_t2p,p_cp,p_mr,p_cd,p_rl
XLE,Energy,64.9,8.1,14.45,57.6,-10.7,33,9,38,80,7,35,42,2.1,5,1.75,0.1,5.5,0.1,0.4,63,6,15
XLB,Materials,9.4,1.4,2.24,66.7,-7.8,42,11,12,31,15,29,57,1.5,21,2.25,0.1,6.0,0.15000000000000002,0.55,41,4,10
XLF,Financials,38.9,5.2,4.05,52.5,-10.0,61,18,36,91,5,34,61,3.2,28,2.5,0.25,3.5,0.15000000000000002,0.55,51,6,10
XLK,Technology,77.5,9.3,6.65,54.8,-10.9,73,7,39,108,6,29,73,2.3,3,2.5,0.2,5.25,0.05,0.7,36,2,18
XLV,Healthcare,27.0,3.8,4.61,62.5,-8.6,64,15,34,105,10,29,64,2.0,2,4.0,0.05,4.5,0.2,0.4,44,4,10
XLP,Consumer Staples,19.4,2.8,4.5,68.2,-7.2,44,18,19,56,7,32,47,2.3,0,2.25,0.05,5.75,0.25,0.5,64,2,18
XLRE,Real Estate,12.4,1.8,4.0,63.3,-7.9,30,13,25,33,5,29,57,2.5,1,3.5,0.05,5.25,0.2,0.4,64,4,10
XLU,Utilities,27.7,3.9,2.83,62.2,-9.7,119,5,45,117,12,29,61,1.1,13,3.5,0.15000000000000002,4.5,0.2,0.45,31,5,13
XLI,Industrials,41.9,5.6,18.12,58.0,-5.9,50,14,18,103,5,34,65,1.8,6,3.75,0.1,4.0,0.1,0.6000000000000001,61,3,17
XLC,Communication,63.1,7.9,15.32,62.7,-7.3,51,17,44,100,7,30,45,3.1,14,3.25,0.25,3.5,0.05,0.6000000000000001,28,5,16
XLY,Consumer Disc,57.2,7.3,14.02,75.3,-6.4,73,10,18,75,10,29,38,2.0,2,3.0,0.2,3.75,0.25,0.55,60,6,10
VOLV-B.ST,Volvo,93.0,10.8,8.45,60.6,-8.8,71,11,43,61,6,31,53,2.9000000000000004,13,2.0,0.25,5.5,0.15000000000000002,0.4,60,4,13
AZN.ST,AstraZeneca,46.6,6.1,10.09,71.9,-7.3,64,19,22,34,5,32,51,1.0,5,4.0,0.2,4.5,0.15000000000000002,0.55,61,2,15
SAND.ST,Sandvik,58.0,7.4,10.26,78.7,-8.1,47,13,24,46,7,30,45,1.1,13,2.75,0.15000000000000002,5.5,0.2,0.4,59,5,13
SEB-A.ST,SEB,38.5,5.2,4.34,60.0,-10.2,60,20,41,101,14,25,51,2.2,12,3.25,0.05,4.5,0.2,0.5,55,3,11
HEXA-B.ST,Hexagon,29.6,4.1,3.78,73.3,-12.4,30,9,13,85,10,21,47,3.3000000000000003,7,1.75,0.15000000000000002,6.0,0.1,0.6000000000000001,56,3,18
ERIC-B.ST,Ericsson,75.2,9.1,23.71,72.2,-10.2,36,13,43,111,12,37,70,2.5,25,2.75,0.2,4.5,0.15000000000000002,0.45,64,6,16
