type,entry_price,exit_price,qty,pnl,pnl_pct,bars_held,reason,entry_date,exit_date
TRIM,97.00984954833984,104.24840545654297,154.39153931000314,1093.4291813654247,7.461671100310463,19,TP1 2R,2024-02-15,2024-03-14
TRIM,97.00984954833984,106.13754272460938,154.39153931000314,1384.658491933914,9.409037555223932,24,TP2 3R,2024-02-15,2024-03-21
CORE,97.00984954833984,109.18633270263672,514.6384643666771,6182.199362026186,12.551800885155838,55,TREND EXIT,2024-02-15,2024-05-06
TRIM,97.00984954833984,109.18633270263672,205.8553857466708,2472.8797448104738,12.551800885155838,55,TREND EXIT,2024-02-15,2024-05-06
TRIM,112.11355590820312,109.18633270263672,201.6534021795281,-623.3112115328188,-2.6109449315506295,11,TREND EXIT,2024-04-19,2024-05-06
TRIM,111.79855346679688,107.01849365234375,492.6736538590273,-2434.097322898609,-4.275600771411369,6,TRIM SL,2024-05-15,2024-05-23
CORE,111.79855346679688,106.93363189697266,492.6736538590273,-2475.8437602635395,-4.351506722552589,7,TREND EXIT,2024-05-15,2024-05-24
CORE,110.91229248046875,107.6313247680664,473.7643796640141,-1630.8934646806943,-2.9581641845335627,14,TREND EXIT,2024-07-17,2024-08-06
TRIM,110.91229248046875,107.6313247680664,473.7643796640141,-1630.8934646806943,-2.9581641845335627,14,TREND EXIT,2024-07-17,2024-08-06
CORE,111.14800262451172,108.20320892333984,457.3993745188676,-1421.1849171268216,-2.649434656167593,9,TREND EXIT,2024-08-08,2024-08-21
TRIM,111.14800262451172,108.20320892333984,457.3993745188676,-1421.1849171268216,-2.649434656167593,9,TREND EXIT,2024-08-08,2024-08-21
CORE,110.55071258544922,108.40280151367188,446.34461457010485,-1031.2860494532285,-1.9429192463297218,7,TREND EXIT,2024-08-23,2024-09-04
TRIM,110.55071258544922,108.40280151367188,446.34461457010485,-1031.2860494532285,-1.9429192463297218,7,TREND EXIT,2024-08-23,2024-09-04
CORE,111.40607452392578,110.90235137939453,433.0101452041065,-290.1499968675484,-0.45215051933552575,22,TREND EXIT,2024-09-30,2024-10-30
TRIM,111.40607452392578,110.90235137939453,433.0101452041065,-290.1499968675484,-0.45215051933552575,22,TREND EXIT,2024-09-30,2024-10-30
CORE,115.10314178466797,112.74312591552734,415.9563766136094,-1052.0079828942246,-2.050348785053746,13,TREND EXIT,2024-11-08,2024-11-27
TRIM,115.10314178466797,112.74312591552734,415.9563766136094,-1052.0079828942246,-2.050348785053746,13,TREND EXIT,2024-11-08,2024-11-27
CORE,109.98113250732422,108.6953125,425.1241820124834,-615.9466875517245,-1.1691278112985315,13,DAILY BREAKER,2025-03-17,2025-04-03
TRIM,109.98113250732422,108.6953125,425.1241820124834,-615.9466875517245,-1.1691278112985315,13,DAILY BREAKER,2025-03-17,2025-04-03
